bodyparts,nose,nose
coords,x,y
505,772.1583251953130,834.5407104492190
506,771.776123046875,834.87451171875
507,772.0013427734380,835.188232421875
508,771.8570556640630,835.1828002929690
509,771.2147216796880,834.9979858398440
510,1047.2318115234400,774.1316528320310
511,935.5845947265630,769.5795288085940
512,937.3079223632810,778.9786987304690
513,937.0882568359380,778.571044921875
514,788.1542358398440,722.3570556640630
515,890.4931030273440,852.1810302734380
516,957.2672119140630,791.8580322265630
517,966.2449951171880,776.2769775390630
518,969.5411376953130,766.0006103515630
519,969.394775390625,757.9265747070310
520,966.8993530273440,749.1395874023440
521,973.4173583984380,746.3607177734380
522,980.3932495117190,737.8306274414060
523,993.3908081054690,742.2071533203130
524,990.560546875,731.8383178710940
525,996.453369140625,720.1529541015630
526,997.8781127929690,719.9312744140630
527,1001.4259033203100,722.0585327148440
528,1003.3355712890600,715.577392578125
529,1009.2944946289100,713.2093505859380
530,1012.3924560546900,709.0540161132810
531,1016.40478515625,706.9140014648440
532,1024.0235595703100,708.3518676757810
533,1028.7489013671900,708.9813232421880
534,1037.3255615234400,710.0979614257810
535,1043.857177734380,710.6651611328130
536,1027.2274169921900,774.1213989257810
537,1047.1639404296900,738.2066650390630
538,1048.3509521484400,742.4415893554690
539,1049.086181640630,745.20556640625
540,1059.45849609375,714.1923828125
541,1045.956787109380,737.2958984375
542,1006.5698852539100,709.3901977539060
543,972.935546875,718.2025146484380
544,958.6710815429690,718.0016479492190
545,937.2594604492190,709.1634521484380
546,926.6267700195310,715.7393798828130
547,909.7908325195310,727.6342163085940
548,905.1658935546880,748.1832885742190
549,903.5145874023440,750.5296630859380
550,898.1026000976560,751.0632934570310
551,893.4989624023440,753.5260620117190
552,895.1769409179690,751.520263671875
553,899.087158203125,746.5421752929690
554,885.4906005859380,695.2151489257810
555,883.1052856445310,685.9616088867190
556,885.0732421875,686.3299560546880
557,869.7581176757810,672.3204956054690
558,864.6281127929690,671.7537231445310
559,865.0490112304690,664.4556884765630
560,870.675048828125,659.3890380859380
561,875.3517456054690,670.3246459960940
562,873.4010620117190,667.4644775390630
563,874.85205078125,661.4114990234380
564,863.2356567382810,655.274169921875
565,856.0675048828130,656.056640625
566,852.2816772460940,652.538330078125
567,848.3502197265630,658.1163330078130
568,849.7849731445310,660.4789428710940
569,852.48681640625,657.1984252929690
570,857.3218994140630,657.4901733398440
571,858.59912109375,660.2639770507810
572,857.5133056640630,656.4619750976560
573,856.30517578125,650.2650756835940
574,845.0811767578130,639.1373291015630
575,835.2495727539060,632.32763671875
576,829.3980102539060,629.0070190429690
577,828.2566528320310,626.8767700195310
578,828.5359497070310,623.7857666015630
579,828.800537109375,616.6475830078130
580,824.7802124023440,611.2042236328130
581,818.22509765625,602.8568725585940
582,814.55078125,591.0870971679690
583,815.168701171875,587.5746459960940
584,822.1227416992190,577.4273071289060
585,829.9724731445310,569.54931640625
586,838.9722290039060,556.6378173828130
587,839.69384765625,546.4163208007810
588,839.4135131835940,535.0661010742190
589,833.0746459960940,522.61328125
590,823.7598876953130,517.620849609375
591,831.8987426757810,512.0086059570310
592,845.43798828125,497.7959289550780
593,849.09765625,487.84429931640600
594,847.1707153320310,477.5369567871090
595,837.2086181640630,470.1054382324220
596,839.876220703125,457.7612609863280
597,839.0303955078130,456.7518615722660
598,839.2796630859380,456.46221923828100
599,840.6954956054690,455.7601318359380
600,836.3080444335940,452.0166320800780
601,830.367919921875,454.53472900390600
602,830.1709594726560,456.8833312988280
603,829.9698486328130,457.7967224121090
604,827.8983764648440,451.9631042480470
605,826.1175537109380,444.98797607421900
606,823.5176391601560,428.2245178222660
607,825.8759155273440,416.0527648925780
608,826.375244140625,403.7460021972660
609,833.8504638671880,393.7363586425780
610,839.869873046875,391.1260070800780
611,851.472412109375,373.74249267578100
612,863.2078247070310,364.07098388671900
613,871.4088745117190,357.9872741699220
614,876.1676635742190,333.68402099609400
615,880.1414794921880,316.69378662109400
616,876.5767822265630,305.3553771972660
617,869.7753295898440,289.3729553222660
