scorer,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000
bodyparts,nose,nose,nose,left ear,left ear,left ear,right ear,right ear,right ear,ear center,ear center,ear center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
77,291.7868957519531,220.0168914794922,0.7405426502227783,324.7960205078125,267.154296875,0.9951693415641785,372.5134582519531,234.17050170898438,0.9920693635940552,346.8717041015625,251.03057861328125,0.994742751121521
78,308.3804626464844,234.19764709472656,0.6675263047218323,323.0260925292969,266.44830322265625,0.9976639747619629,368.0783996582031,234.12240600585938,0.9956068396568298,345.5457458496094,250.75645446777344,0.9955909252166748
79,328.7751770019531,198.3724822998047,0.4708341956138611,325.4978942871094,262.9583435058594,0.9969817996025085,367.53668212890625,229.89471435546875,0.9984087347984314,345.1768493652344,247.32640075683594,0.998691737651825
80,333.6432189941406,197.7189483642578,0.803522527217865,325.5915832519531,259.763671875,0.9983944296836853,371.30938720703125,227.4223175048828,0.9986165761947632,347.4736328125,243.1586151123047,0.9995212554931641
81,335.8461608886719,203.47015380859375,0.7210990786552429,325.7614440917969,258.6604919433594,0.9983294606208801,371.59368896484375,226.91790771484375,0.9985209107398987,347.9855651855469,242.54296875,0.9994680285453796
82,340.8342590332031,214.39797973632812,0.9276256561279297,325.9203186035156,259.3933410644531,0.9968301653862,373.64227294921875,230.43637084960938,0.9985260367393494,348.551025390625,242.66275024414062,0.999566376209259
83,342.540771484375,214.7650146484375,0.9740604758262634,329.5423889160156,258.36297607421875,0.9972631931304932,379.1366882324219,232.50900268554688,0.998006284236908,353.69830322265625,243.31207275390625,0.9990507960319519
84,343.2118225097656,215.24867248535156,0.9566898941993713,331.0230712890625,257.8407897949219,0.9964172840118408,382.2412109375,234.61322021484375,0.9943892359733582,355.8364562988281,244.37696838378906,0.9990625977516174
85,343.6241760253906,216.14102172851562,0.9520671963691711,331.43035888671875,256.6462707519531,0.9955723285675049,383.00701904296875,234.54876708984375,0.9961209893226624,357.8790283203125,244.00131225585938,0.9988201260566711
86,352.5133056640625,219.56988525390625,0.9909768104553223,334.6300964355469,253.57994079589844,0.9858377575874329,392.0220642089844,236.5852508544922,0.9974619150161743,362.8385009765625,244.11573791503906,0.9980987906455994
